Start_date,End_Date,Crime,Current,Prior,Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
  12/28/2020,  1/3/2021,Fel. Assault,52,61,-14.8,191,206,-7.3,22,32,-31.3,-15.4,29.4,-61.4,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Burglary,37,42,-11.9,148,141,5,13,13,0,-13.3,-51.9,-90.7,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Gr. Larceny,81,108,-25,323,449,-28.1,24,48,-50,-29.4,-4,-40,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,G.L.A.,29,17,70.6,102,79,29.1,11,7,57.1,57.1,-35.3,-94,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,TOTAL,244,268,-8.96,923,"1,035",-10.82,88,116,-24.14,-6.38,-19.27,-83.58,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Transit,1,12,-91.7,6,36,-83.3,0,7,-100,-100,-100,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Housing,4,7,-42.9,29,29,0,2,4,-50,-33.3,-33.3,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Petit Larceny,219,216,1.4,978,"1,018",-3.9,56,69,-18.8,-38.5,-25.3,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Misd. Assault,88,96,-8.3,294,365,-19.5,35,38,-7.9,-22.2,-50,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Misd. Sex Crimes,7,5,40,26,16,62.5,4,4,0,33.3,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Shooting Vic.,10,8,25,40,47,-14.9,5,5,0,25,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Shooting Inc.,2,7,-71.4,19,15,26.7,1,6,-83.3,***.*,-50,-83.3,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Murder,1,0,***.*,3,0,***.*,102,65,56.9,78.9,-22.1,-78.4,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Rape,1,1,0,14,11,27.3,220,280,-21.4,-16.3,-2.7,-62.6,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Robbery,29,53,-45.3,151,194,-22.2,"2,126","2,389",-11,-13.4,-42.3,-87.3,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Fel. Assault,40,60,-33.3,226,213,6.1,"3,333","3,441",-3.1,-3.1,2.9,-60,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
