Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
-62.07,72,110,-34.55,2,15,-86.67,-77.78,-85.71,-95.74,28,53,Bill de Blasio,Dermot Shea,107th Precinct
-33.3,12,13,-7.7,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,106th Precinct
0,30,53,-43.4,5,5,0,25,400,25,28,53,Bill de Blasio,Dermot Shea,106th Precinct
0,14,14,0,2,2,0,100,100,-60,28,53,Bill de Blasio,Dermot Shea,105th Precinct
-16.7,27,30,-10,3,4,-25,-25,200,-57.1,28,53,Bill de Blasio,Dermot Shea,105th Precinct
300,22,6,266.7,2,1,100,-50,-50,-77.8,28,53,Bill de Blasio,Dermot Shea,105th Precinct
-33.3,26,45,-42.2,0,3,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,105th Precinct
9.09,107,121,-11.57,9,13,-30.77,-30.77,-18.18,-79.07,28,53,Bill de Blasio,Dermot Shea,105th Precinct
-75,13,22,-40.9,1,1,0,-50,0,-66.7,28,53,Bill de Blasio,Dermot Shea,104th Precinct
200,32,18,77.8,3,1,200,50,-25,-85,28,53,Bill de Blasio,Dermot Shea,104th Precinct
33.3,39,42,-7.1,4,4,0,33.3,33.3,300,28,53,Bill de Blasio,Dermot Shea,104th Precinct
64.71,111,104,6.73,12,7,71.43,9.09,20,-76,28,53,Bill de Blasio,Dermot Shea,104th Precinct
0,38,37,2.7,5,2,150,400,150,-16.7,28,53,Bill de Blasio,Dermot Shea,103rd Precinct
-66.7,5,11,-54.5,1,1,0,-50,-50,-66.7,28,53,Bill de Blasio,Dermot Shea,101st Precinct
16.7,23,20,15,2,3,-33.3,-50,100,0,28,53,Bill de Blasio,Dermot Shea,101st Precinct
-85.7,15,23,-34.8,0,2,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,77th Precinct
-37.5,17,22,-22.7,1,4,-75,-50,-66.7,-90.9,28,53,Bill de Blasio,Dermot Shea,77th Precinct
200,13,5,160,1,1,0,0,0,-91.7,28,53,Bill de Blasio,Dermot Shea,77th Precinct
20,18,21,-14.3,3,1,200,0,50,200,28,53,Bill de Blasio,Dermot Shea,77th Precinct
-37.5,74,78,-5.13,5,9,-44.44,-44.44,-61.54,-90.91,28,53,Bill de Blasio,Dermot Shea,77th Precinct
-50,55,59,-6.8,616,674,-8.6,2.7,-18.3,-80.2,28,53,Bill de Blasio,Dermot Shea,75th Precinct
-7.7,57,53,7.5,859,926,-7.2,-7,16.1,-41.5,28,53,Bill de Blasio,Dermot Shea,75th Precinct
0,24,37,-35.1,426,463,-8,-2.7,-9.7,-76.8,28,53,Bill de Blasio,Dermot Shea,75th Precinct
-27.3,74,81,-8.6,953,"1,028",-7.3,-6.9,34.2,-0.3,28,53,Bill de Blasio,Dermot Shea,75th Precinct
0,50,37,35.1,414,293,41.3,102,29,-84.3,28,53,Bill de Blasio,Dermot Shea,75th Precinct
-40,15,16,-6.3,2,2,0,100,-50,-87.5,28,53,Bill de Blasio,Dermot Shea,71st Precinct
-50,15,12,25,2,3,-33.3,-75,-33.3,-66.7,28,53,Bill de Blasio,Dermot Shea,71st Precinct
-14.3,16,22,-27.3,1,4,-75,0,0,-91.7,28,53,Bill de Blasio,Dermot Shea,71st Precinct
-55.6,16,34,-52.9,2,4,-50,-33.3,-60,100,28,53,Bill de Blasio,Dermot Shea,71st Precinct
100,25,18,38.9,3,1,200,200,50,-85,28,53,Bill de Blasio,Dermot Shea,70th Precinct
